qc_id,gid,acueducto,serial,marcamedid,clasemedid,tipomedido,diametro_p,fecha_ins,usuario,cod_predio,cota,observacio,icon_url
"50","21",San Antonio,ND008,Otro,Micromedidor,Volumétrico,0.5,,ND,,970,Ya no está activo por falta de pago (Genoveva Estrada),./0.png
"51","202",San Antonio,"0228469",Otro,Micromedidor,Volumétrico,0.5,,ND,,1000,Pendiente por registrar. Es nuevo (Luisa Fernanda Zapata),./0.png
"52","279",San Antonio,"0266473",Otro,Micromedidor,Volumétrico,0.5,,"10002230","85809",1041,,./0.png
"53","280",San Antonio,"0266467",Otro,Micromedidor,Volumétrico,0.5,,"10002240","628227",1041,,./0.png
"54","11",San Antonio,"171383",Otro,Micromedidor,Volumétrico,0.5,,"10001266",,1044,,./0.png
"55","12",San Antonio,"0266498",Metrex,Micromedidor,De Velocidad,0.5,,"10001271",,1045,,./0.png
"56","13",San Antonio,"0266501",Metrex,Micromedidor,De Velocidad,0.5,,"10001273",,1050,,./0.png
"57","112",San Antonio,"266494",Metrex,Micromedidor,De Velocidad,0.5,,"10000530",,1047,,./0.png
"58","387",San Antonio,"32098",Elster,Micromedidor,Volumétrico,0.5,,"10001220",,1065,,./0.png
"59","0",San Antonio,"40441",Metrex,Micromedidor,Volumétrico,0.5,,"10001435",,1036,,./0.png
"60","388",San Antonio,"266466",Metrex,Micromedidor,Volumétrico,0.5,,"10002430",,1042,,./0.png
"61","69",San Antonio,"0266490",Otro,Micromedidor,Volumétrico,0.5,,"10000816",,1049,,./0.png
"62","231",San Antonio,"0266483",Otro,Micromedidor,Volumétrico,0.5,,"10001140",,1031,,./0.png
"63","18",San Antonio,"40424",Elster,Micromedidor,Volumétrico,0.5,,"10002670",,1000,Marca ELSTER,./0.png
"64","72",San Antonio,"16000836",Water meter,Micromedidor,Volumétrico,0.5,,"10000823",,1052,,./0.png
"65","73",San Antonio,"0266496",Metrex,Micromedidor,De Velocidad,0.5,,"10000910",,1090,,./0.png
"66","74",San Antonio,"0168573",Otro,Micromedidor,Volumétrico,0.5,,"10000929",,1104,,./0.png
"67","75",San Antonio,"452457",Otro,Micromedidor,Volumétrico,0.5,,"10000930",,1088,,./0.png
"68","81",San Antonio,"306709",Water meter,Micromedidor,Volumétrico,0.5,,"10000877",,1048,,./0.png
