qc_id,gid,tipoinfra,acueducto,caracter,estainf,adecuacion,tipo_adec,calidad,image,observ,cota,material_f,fecha_ins,funcion_ti,diam_pulg,diam_pg_sa,diam_pg__1,coord_este,coord_nort,icon_url
"21","135",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,3,3,0.75,821374.07,1054223.13,./0.png
"22","139",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,4,4,0.5,821803.5,1053856.56,./0.png
"23","150",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,4,4,0.5,822057.33,1054180.89,./0.png
"24","151",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,4,4,0.5,822039.48,1054175.53,./0.png
"25","152",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,4,4,0.5,821984.12,1054159.03,./0.png
"26","153",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1040,PVC,,Derivación,3,3,0.5,822371.56,1054130.95,./0.png
"27","154",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,3,3,0.5,822416.18,1054147.04,./0.png
"28","159",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1032,PVC,,Derivación,2,2,0.5,821699.22,1054689.65,./0.png
"29","160",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1032,PVC,,Derivación,2,2,0.5,821696.65,1054679.68,./0.png
"30","161",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1031,PVC,,Derivación,2,2,0.5,821688.02,1054628.63,./0.png
"31","162",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1047,PVC,,Derivación,3,3,0.5,821735.23,1054493.58,./0.png
"32","163",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1047,PVC,,Derivación,3,3,0.5,821741.59,1054483,./0.png
"33","164",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1048,PVC,,Derivación,3,3,0.5,821754.05,1054461.21,./0.png
"34","165",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1047,PVC,,Derivación,3,3,0.75,821782.4,1054393.9,./0.png
"35","166",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,3,3,0.5,821817.09,1054292.12,./0.png
"36","167",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,3,3,0.5,821838.73,1054228.6,./0.png
"37","168",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1048,PVC,,Derivación,4,4,0.5,821881.03,1054063.57,./0.png
"38","169",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1051,PVC,,Derivación,4,4,0.5,821828.44,1053663.21,./0.png
"39","170",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,6,6,0.5,821660.44,1053395.97,./0.png
"40","171",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,6,6,0.5,821628.55,1053352.12,./0.png
"41","172",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,6,6,0.5,821623.77,1053345.16,./0.png
"42","173",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1040,PVC,,Derivación,6,6,0.5,821590.88,1053295.68,./0.png
"43","174",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,6,6,0.5,821539.72,1053220.77,./0.png
"44","175",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1052,PVC,,Derivación,3,3,0.5,821271.29,1053018.16,./0.png
"45","176",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,3,3,0.5,821323.95,1053054.51,./0.png
"46","177",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,3,3,0.5,821354.8,1053085.86,./0.png
"47","178",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1051,PVC,,Derivación,3,3,0.5,821262.88,1053027.53,./0.png
"48","179",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1057,PVC,,Derivación,3,3,0.5,821217.67,1053023.56,./0.png
